name,kal
갈릭스테이크피자 (오리지널 M),757.75
갈릭스테이크피자 씬L,537.12
갈릭스테이크피자 씬XL,838.8
갈릭스테이크피자 팬L,848.12
갈릭치킨바베큐 피자,261
감자피자 씬XL,438.96
감자피자 씬L,629
감자피자 팬XL,891.1
감자피자 팬L,570
감자피자(씬) L,285.8
게살몽땅(살사소스) 골드 L,644.39
게살몽땅(살사소스) 골드 R,282.08
게살몽땅(살사소스) 오리진 L,304.61
게살몽땅(살사소스) 오리진 R,827.78
게살몽땅(살사소스)_Premium gold pizza_L,421.42
게살몽땅(살사소스)_Premium gold pizza_R,252.08
게살몽땅(살사소스)_Premium orgin pizza_L,272.32
게살몽땅(살사소스)_Premium orgin pizza_R,704
게살통통피자 씬XL,451.44
게살통통피자 씬L,649.38
게살통통피자 팬L,616.14
고구마 바이트 피자,351.41
고구마 피자,977.71
고구마(레귤러2조각),664.17
고구마(스크린),323.13
고구마무스바이트(L),406.1
고구마피자,243.81
고구마피자 L,272.48
고구마피자 M,802.78
고구마피자 씬XL,570.84
고구마피자 씬L,824.32
고구마피자 팬XL,280.16
고구마피자 팬L,722.1
고구마피자(라이스골드) F,837.69
고구마피자(라이스골드) L,776.74
고구마피자(라이스골드) R,441.67
고구마피자(라이스바이트) F,943.1
고구마피자(라이스바이트) L,878.69
고구마피자(라이스바이트) R,570.87
고구마피자(백미) L,258.66
고구마피자(백미) R,703.23
고구마피자(석쇠) F,498.41
고구마피자(석쇠) L,409.33
고구마피자(석쇠) R,765.19
고구마피자(씬) L,296.09
고구마피자(치즈크러스트) F,597.35
고구마피자(치즈크러스트) L,606.69
고구마피자(치즈크러스트) R,356.6
고구마피자(팬) F,588.93
고구마피자(팬) L,472.1
고구마피자(팬) R,876.3
고구마피자(흑미) L,265.44
고구마피자(흑미) R,726.77
곤졸라(스크린),291.14
곤졸라(치크),413.83
곤졸라(팬),302.47
곤졸라(피타),155.37
곤졸라(피타2조각),626.18
골드 고구마 피자,402.84
골드 고구마 피자 L,231.82
골드 불고기 피자,344.68
골드 불고기 피자 L,228.78
골드 스테이크불갈비 피자,380.56
골드 스테이크불갈비 피자 L,228.57
골드 야채 피자,302.48
골드 이탈리안치즈 피자,326.56
골드 콤비네이션 피자,333.92
골드 콤비네이션 피자 L,222.28
골드 텐더치킨 피자,415.8
골드 텐더치킨 피자 L,237.82
골드 페파로니 피자,372.89
골드 포테이토 피자,404.12
골드 포테이토 피자 L,231.3
골드스파이치킨피자,415.8
골드큐브(스크린),510.52
골드큐브(치크),793.54
골드큐브(팬),623.55
골드큐브(피타),469.86
골드텐더&쉬림프 피자,390.78
골드포테이토피자,400.98
골든고구마(L),305.1
골든고구마(M),265.2
골든고구마(킹),1065
골든고구마피자,166.69
골든궁중떡갈비(L),330.6
골든궁중떡갈비(M),254.8
골든단갈릭(L),469.35
골든단갈릭(M),395.3
골든단호박카사(L),384.3
골든단호박카사(M),470.4
골든리치킨바베큐(L),405.65
골든리치킨바비큐(M),432.25
골든베이컨(L),294.3
골든베이컨(M),288.9
골든베이컨(킹),1025
골든베이컨포테이토(L),387.5
골든베이컨포테이토(M),378.2
골든베이컨피자,161.46
골든불갈비(L),324.5
골든불갈비(M),313.2
골든불갈비(킹),1110
골든불갈비피자,163.53
골든불고기(L),656
골든불고기(M),648
골든불고기(킹),573.5
골든불고기피자,154
골든빅4랑(L),387.5
골든빅4랑피자,329.46
골든쉬림프(L),318.6
골든쉬림프(M),315.9
골든쉬림프(킹),1108.8
골든쉬림프바베큐감자피자,183.37
골든쉬림프바비큐(L),399.55
골든쉬림프바비큐(M),393.45
골든슈퍼콤비(L),305.25
골든슈퍼콤비(M),308
골든슈퍼콤비(킹),1000
골든슈퍼콤비피자,151.24
골든스위트피자 (씬 L),436.36
골든스위트피자 (씬 M),651.06
골든스위트피자 (오리지널 L),672.84
골든스위트피자 (오리지널 M),1067.83
골든스위티치킨(L),334.8
골든스위티치킨(M),329.4
골든스위티치킨(킹),1158.3
골든야채피자,162.81
골든치즈(킹),928.2
골든치즈피자,140.89
골든카사바피자,206.8
골든크런치포테이토피자,257.61
골든통고구마피자,156.56
골든트리플스윗피자,146.16
골든페페로니(L),886.9
골든페페로니(M),868.15
골든페페로니(킹),319.5
골든페페로니피자,154.77
골든포테이토(L),275.4
골든포테이토(M),324.8
골든포테이토(킹),933.8
골든포테이토피자,170.15
골든포테이토휠레(L),390.6
골든포테이토휠레(M),384.4
골든하아이언피자,144.54
골든핫치킨(L),345.15
골든핫치킨(M),448.5
골든핫치킨(킹),1188
골든핫치킨피자,180.6
그릴드포테이토피자 (씬 L),337.36
그릴드포테이토피자 (씬 M),415.66
그릴드포테이토피자 (오리지널 L),559.64
그릴드포테이토피자 (오리지널 M),729.42
그릴환타지 피자 냉동생지도우,517.5
그릴환타지 피자 생지도우,523.11
까르보네 피자,883.2
까르보네피자,246.65
깐쇼새우피자,351
나폴리피자,1007
뉴욕스페셜 오리진 L,288.12
뉴욕스페셜 오리진 R,660.61
뉴욕스페셜 치즈캡 L,354.77
뉴욕스페셜 치즈캡 R,862.76
단팥크러스트피자 L,867.75
단팥크러스트피자 M,424.7
단호박피자,810.3
단호박피자 L,243
단호박피자 M,536
단호박피자(라이스골드) F,812.61
단호박피자(라이스골드) L,761.19
단호박피자(라이스골드) R,433.59
단호박피자(라이스바이트) F,915.63
단호박피자(라이스바이트) L,861.94
단호박피자(라이스바이트) R,561.59
단호박피자(백미) L,253.38
단호박피자(백미) R,691.21
단호박피자(석쇠) F,482.42
단호박피자(석쇠) L,398.57
단호박피자(석쇠) R,745.37
단호박피자(치즈크러스트) F,579.72
단호박피자(치즈크러스트) L,592.98
단호박피자(치즈크러스트) R,349.36
단호박피자(팬) F,570.99
단호박피자(팬) L,456.74
단호박피자(팬) R,854.46
단호박피자(흑미) L,259.82
단호박피자(흑미) R,713.8
닭갈비 골드 L,453.62
닭갈비 골드 R,295.99
닭갈비 누드 L,474.93
닭갈비 누드 R,309.85
닭갈비 오리진 L,339.65
닭갈비 오리진 R,879.88
닭갈비 치즈캡 L,411.69
닭갈비 치즈캡 R,279.03
닭갈비 쿠키 L,575.6
닭갈비 쿠키 R,378.88
닭안심살피자,462
더 스페셜 까망베르  M,536.05
더 스페셜 데미그라스 비프 M,672.62
더 스페셜 바질 씨푸드 M,589.3
더 스페셜 쏘핫 치킨  M,642.4
더 스페셜 크림 치킨 M,684.18
더 스페셜 텐더 비프 M,670.93
더블데커(킹),880.65
더블바베큐피자 M,608
더블바베큐피자(L),949.6
더블크러스트 패스츄리,505.6
더블크러스트 패스트리 M,307.29
더블크러스트 프리모(더블L),457.24
더스페셜 골든포테이토(M),916.56
더스페셜 크림 치킨(M),616.14
데리 치킨 피자,259.48
데리치킨&불고기 바이트 피자,257.42
데리콤비디럭스엣지,334.48
도이치바이트 피자,1005.8
도이치휠레 (나폴리L),567.85
도이치휠레 (오리지널) M,230.08
도이치휠레피자 (씬 L),474.82
도이치휠레피자 (씬 M),580.01
도이치휠레피자 (오리지널 L),720.36
도이치휠레피자 (오리지널 M),247.62
디럭스치즈 라이스골드L,541.12
디럭스치즈 라이스골드R,316.17
디럭스치즈 라이스바이트L,626.34
디럭스치즈 라이스바이트R,426.67
디럭스치즈 백미떡도우L,553.72
디럭스치즈 백미떡도우R,416.69
